           T            M           Cv            E           Xm 
1.20000000e+02 1.46647786e-02 3.75075977e-05 -3.98438171e-03 9.89172126e+02 
1.18000000e+02 2.30150595e-02 4.06787715e-05 -4.04977580e-03 1.13697377e+03 
1.16000000e+02 2.55579742e-03 4.08222814e-05 -4.16109896e-03 1.35352056e+03 
1.14000000e+02 9.18785491e-03 3.80044640e-05 -4.22997257e-03 1.26687724e+03 
1.12000000e+02 2.06409583e-02 4.37360299e-05 -4.32744422e-03 1.50355886e+03 
1.10000000e+02 2.01360360e-02 4.98830817e-05 -4.39776298e-03 1.39733680e+03 
1.08000000e+02 7.60801095e-03 4.66022544e-05 -4.50214184e-03 1.82959488e+03 
1.06000000e+02 7.95856312e-03 5.32820816e-05 -4.58062038e-03 1.56331554e+03 
1.04000000e+02 1.21182854e-02 4.82353184e-05 -4.68662739e-03 1.66540188e+03 
1.02000000e+02 2.46614943e-02 5.24801582e-05 -4.79467424e-03 2.10011237e+03 
1.00000000e+02 1.85827201e-02 5.35438353e-05 -4.91629994e-03 2.12066515e+03 
9.80000000e+01 1.38794620e-04 6.22926318e-05 -5.04535989e-03 1.89904953e+03 
9.60000000e+01 3.47794761e-02 5.97112473e-05 -5.15382280e-03 2.57146302e+03 
9.40000000e+01 4.55773147e-03 7.02644562e-05 -5.28126805e-03 2.53395319e+03 
9.20000000e+01 5.40081386e-03 6.81728914e-05 -5.37923894e-03 2.80370453e+03 
9.00000000e+01 1.79180002e-02 7.50100933e-05 -5.55097113e-03 3.19250048e+03 
8.80000000e+01 3.70013798e-03 7.86068450e-05 -5.72869040e-03 3.57984033e+03 
8.60000000e+01 6.12359811e-02 8.12081640e-05 -5.82735584e-03 4.05330498e+03 
8.40000000e+01 1.36839794e-02 7.82020129e-05 -6.04118288e-03 4.74497238e+03 
8.20000000e+01 8.72861773e-02 8.55868405e-05 -6.21607467e-03 4.87486978e+03 
8.00000000e+01 1.01953302e-01 8.81968012e-05 -6.36770015e-03 5.83383130e+03 
7.80000000e+01 3.00567529e-02 9.96821545e-05 -6.62628165e-03 6.81515479e+03 
7.60000000e+01 5.05338699e-02 1.01278668e-04 -6.82428816e-03 8.29191725e+03 
7.40000000e+01 3.05360387e-02 1.03924002e-04 -7.07567454e-03 1.29338633e+04 
7.20000000e+01 1.59638565e-01 1.04620128e-04 -7.27148716e-03 8.33257453e+03 
7.00000000e+01 3.71688722e-02 1.34330463e-04 -7.49546725e-03 1.93694608e+04 
6.80000000e+01 2.38161297e-01 1.35041215e-04 -7.77623026e-03 2.52986958e+04 
6.60000000e+01 1.62234401e-01 1.39088750e-04 -8.05113877e-03 3.87839568e+04 
6.40000000e+01 5.72234474e-01 1.41044532e-04 -8.41700271e-03 3.78432848e+04 
6.20000000e+01 1.60378142e-02 1.63647663e-04 -8.66905949e-03 5.91829537e+04 
6.00000000e+01 1.28648310e+00 1.46999376e-04 -9.03336304e-03 1.19193268e+04 
5.80000000e+01 2.78149540e-01 1.31460360e-04 -9.23851548e-03 5.62879880e+04 
